LILRB4	UniProtKB:Q8NHJ6	Leukocyte immunoglobulin-like receptor subfamily B member 4
LILRB4	UniProtKB:Q8NHJ6	Leukocyte immunoglobulin-like receptor subfamily B member 4
ITGAX	UniProtKB:P20702	Integrin alpha-X
ITGAX	UniProtKB:P20702	Integrin alpha-X
ITGAX	UniProtKB:P20702	Integrin alpha-X
ITGAX	UniProtKB:P20702	Integrin alpha-X
ITGAL	UniProtKB:P20701	Integrin alpha-L
ITGAL	UniProtKB:P20701	Integrin alpha-L
ITGAL	UniProtKB:P20701	Integrin alpha-L
ITGAL	UniProtKB:P20701	Integrin alpha-L
COLEC10	UniProtKB:Q9Y6Z7	Collectin-10
P2RY1	UniProtKB:P47900	P2Y purinoceptor 1
ENOX2	UniProtKB:Q16206	Ecto-NOX disulfide-thiol exchanger 2
ST14	UniProtKB:Q9Y5Y6	Suppressor of tumorigenicity 14 protein
LIPG	UniProtKB:Q9Y5X9	Endothelial lipase
CACNG2	UniProtKB:Q9Y698	Voltage-dependent calcium channel gamma-2 subunit
CLIC4	UniProtKB:Q9Y696	Chloride intracellular channel protein 4
WIF1	UniProtKB:Q9Y5W5	Wnt inhibitory factor 1
TNFRSF18	UniProtKB:Q9Y5U5	Tumor necrosis factor receptor superfamily member 18
GPC6	UniProtKB:Q9Y625	Glypican-6
TSPEAR	UniProtKB:Q8WU66	Thrombospondin-type laminin G domain and EAR repeat-containing protein
NLGN2	UniProtKB:Q8NFZ4	Neuroligin-2
NLGN2	UniProtKB:Q8NFZ4	Neuroligin-2
NLGN4Y	UniProtKB:Q8NFZ3	Neuroligin-4, Y-linked
HILPDA	UniProtKB:Q9Y5L2	Hypoxia-inducible lipid droplet-associated protein
HLA-C	UniProtKB:P10321	HLA class I histocompatibility antigen, C alpha chain
HLA-C	UniProtKB:P10321	HLA class I histocompatibility antigen, C alpha chain
HLA-C	UniProtKB:P10321	HLA class I histocompatibility antigen, C alpha chain
HAVCR1	UniProtKB:Q96D42	Hepatitis A virus cellular receptor 1
ANGPTL3	UniProtKB:Q9Y5C1	Angiopoietin-related protein 3
SDC3	UniProtKB:O75056	Syndecan-3
IGSF3	UniProtKB:O75054	Immunoglobulin superfamily member 3
FCGR3B	UniProtKB:O75015	Low affinity immunoglobulin gamma Fc region receptor III-B
